Name,UV_wave,UV_Energy,CPFAS,CED,pH,Temp,nF,H_C,F_C,EB3LYP,ELUMO,f_min,f_zmax,EA,S,ESP_Average_Negative_surface_area,ESP_Overall_average_value,ESP_Positive_average_value,Kobs,Electron_donor,Air_condition
PFPrA,254,18,25,10,12,20,5,0.333333333,1.666666667,-764.57768,-1.15984,0.0295,0.2304,-1.5623,0.0778,86.91576,1.18727,15.31386,5.14,SO32-,S
PFBA,254,8,46,10,7,25,7,0.25,1.75,-1002.359323,-1.221073,0.0199,0.208,-1.3161,0.0808,43.81661,2.95891,9.05113,0.078,I-,A
PFHxA,254,18,25,10,12,20,11,0.166666667,1.833333333,-1477.933911,-1.2883,0.0175,0.1739,-1.0207,0.0852,142.97827,0.63409,11.67251,5.78,SO32-,S
PFBA,254,18,25,10,9.5,20,7,0.25,1.75,-1002.359323,-1.221073,0.0199,0.208,-1.3161,0.0808,43.81661,2.95891,9.05113,0.4,SO32-,S
62FTSA,254,12.3,25,10,12,25,13,0.625,1.625,-2229.609542,0.042413,0.0115,0.092,-1.6017,0.0827,129.81932,2.91474,10.53258,0.03,SO32-,S
42FTSA,254,11.3,25,10,12,25,9,0.833333333,1.5,-1754.038934,0.335809,0.0144,0.1381,-2.0123,0.0787,105.65167,3.22844,12.05747,0.0053,SO32-,S
PFOA,253.7,8,160,20,10,20,15,0.125,1.875,-1953.504517,-1.308409,0.0137,0.1474,-0.8011,0.0886,177.80861,0.62759,10.13401,2.46,SO32-,S
H-PFOA,254,11.2,25,10,12,25,14,0.25,1.75,-1854.258109,-1.269714,0.0154,0.1581,-0.9339,0.0878,178.07868,0.38768,13.90311,0.6,SO32-,S
PFOA,254,10.9,25,10,12,25,15,0.125,1.875,-1953.504517,-1.308409,0.0137,0.1474,-0.8011,0.0886,177.80861,0.62759,10.13401,0.32,SO32-,S
PF4OPeA,254,11.1,25,10,12,25,7,0.25,1.75,-1077.597246,-1.201145,0.0132,0.2197,-1.411,0.0796,115.12053,0.69681,13.39167,0.62,SO32-,S
PFOS,254,8,20,10,7,20,17,0.125,2.125,-2626.512716,-0.738456,0.0137,0.0714,-0.9124,0.0862,102.8011,1.80565,6.34288,0.18,I-,A
PFPeA,254,18,25,10,9.5,20,9,0.2,1.8,-1240.148581,-1.266732,0.0202,0.1902,-1.1583,0.0832,124.64352,0.67066,12.59007,0.7,SO32-,S
PFHxA,254,8,31.9,10,7,25,11,0.166666667,1.833333333,-1477.933911,-1.2883,0.0175,0.1739,-1.0207,0.0852,142.97827,0.63409,11.67251,0.066,I-,A
PFBS,254,12.8,25,10,12,25,9,0.25,2.25,-1675.370737,-0.471852,0.0186,0.1248,-1.6134,0.0766,95.23117,1.04459,9.41907,0.037,SO32-,S
PFMeUPA(239795-58-5 ),254,12.9,25,10,12,25,9,0.166666667,1.5,-1278.235465,-2.1985,0.0114,0.1499,-0.0168,0.0965,110.47669,1.48018,10.84957,4.01,SO32-,S
PFPeA,254,11.9,25,10,12,25,9,0.2,1.8,-1240.148581,-1.266732,0.0202,0.1902,-1.1583,0.0832,124.64352,0.67066,12.59007,0.51,SO32-,S
NBP2,254,8.03,25,10,12,25,14,0.285714286,2,-2439.95809,-0.26269,0.005,0.0915,-1.5949,0.078,143.53912,2.08879,9.57899,0.015,SO32-,S
53FTCA,254,10.2,25,10,12,25,11,0.625,1.375,-1556.594877,-0.104143,0.0117,0.133,-1.9357,0.0818,155.1105,1.25916,11.95331,0.014,SO32-,S
H-PFBA,254,11.9,25,10,12,25,6,0.5,1.5,-903.116825,-0.994787,0.0276,0.2124,-1.5986,0.0804,102.56569,0.48083,18.46964,0.39,SO32-,S
PFOA,254,18,25,10,9.5,20,15,0.125,1.875,-1953.504517,-1.308409,0.0137,0.1474,-0.8011,0.0886,177.80861,0.62759,10.13401,0.56,SO32-,S
PF5OHxA,254,11.1,25,10,12,25,9,0.2,1.8,-1315.382768,-1.240418,0.0109,0.2016,-1.2484,0.0819,131.21563,0.65255,11.93011,0.26,SO32-,S
PFBS,254,8,33.4,10,7,25,9,0.25,2.25,-1675.370737,-0.471852,0.0186,0.1248,-1.6134,0.0766,95.23117,1.04459,9.41907,0.024,I-,A
62Cl-PFESA,254,14.4,25,10,12,25,16,0.125,2,-3062.092313,-0.50675,0.0095,0.1769,-0.9169,0.0858,129.93821,1.59847,6.37352,9.06,SO32-,S
PFHxS,254,12,25,10,12,25,13,0.166666667,2.166666667,-2150.942479,-0.683995,-0.0031,0.1966,-6.1573,0.0761,110.41678,1.22711,7.58361,0.13,SO32-,S
PFNA,254,18,25,10,9.5,20,17,0.111111111,1.888888889,-2191.289824,-1.312755,0.0123,0.1371,-0.7105,0.0901,194.6025,0.63785,9.51271,0.89,SO32-,S
Cl-PFPeA,254,14.4,25,10,12,25,8,0.2,1.6,-1600.496042,-1.334408,0.0166,0.1966,-0.687,0.088,133.33151,0.60815,12.17031,8.15,SO32-,S
PFOS,254,18,25,10,12,20,17,0.125,2.125,-2626.512716,-0.738456,0.0137,0.0714,-0.9124,0.0862,102.8011,1.80565,6.34288,0.78,SO32-,S
C7 HFPO-TA,253.7,8,100,2,12,25,13,0.142857143,1.857142857,-1866.19367,-1.121222,0.0096,0.1931,-1.2658,0.0819,162.8972,0.82141,9.55031,1.35,SO32-,S
63FTCA,254,12,25,10,12,25,13,0.555555556,1.444444444,-1794.380187,-0.106723,0.0102,0.1152,-1.7203,0.0839,174.51355,1.14424,11.50809,0.045,SO32-,S
C7 HFPO-TA,184.9,8,100,3,12,25,13,0.142857143,1.857142857,-1866.19367,-1.121222,0.0096,0.1931,-1.2658,0.0819,162.8972,0.82141,9.55031,3.18,SO32-,S
HFPO-TeA,254,10.7,25,10,12,25,23,0.083333333,1.916666667,-3130.366348,-1.075303,-0.0056,0.1591,-1.0946,0.084,179.91597,1.34923,6.34448,0.13,SO32-,S
